sensor ts value
/qct/qexa-20/cocos/calibration/QB10/fidelity_1qb_gates_averaged "2025-08-13 03:42:04" 9960
/qct/qexa-20/cocos/calibration/QB10/fidelity_1qb_gates_averaged "2025-08-14 03:42:10" 9989
/qct/qexa-20/cocos/calibration/QB10/fidelity_1qb_gates_averaged "2025-08-15 03:40:35" 9988
/qct/qexa-20/cocos/calibration/QB10/fidelity_1qb_gates_averaged "2025-08-16 03:42:20" 9989
/qct/qexa-20/cocos/calibration/QB10/fidelity_1qb_gates_averaged "2025-08-17 03:41:45" 9988
/qct/qexa-20/cocos/calibration/QB10/fidelity_1qb_gates_averaged "2025-08-18 03:41:53" 9989
/qct/qexa-20/cocos/calibration/QB10/fidelity_1qb_gates_averaged "2025-08-19 03:43:48" 9986
/qct/qexa-20/cocos/calibration/QB10/fidelity_1qb_gates_averaged "2025-08-20 03:42:52" 9983
/qct/qexa-20/cocos/calibration/QB10/fidelity_1qb_gates_averaged "2025-08-21 03:41:43" 9989
/qct/qexa-20/cocos/calibration/QB10/fidelity_1qb_gates_averaged "2025-08-22 03:40:39" 9987
/qct/qexa-20/cocos/calibration/QB10/fidelity_1qb_gates_averaged "2025-08-24 03:42:13" 9989
/qct/qexa-20/cocos/calibration/QB10/fidelity_1qb_gates_averaged "2025-08-25 03:42:55" 9987
/qct/qexa-20/cocos/calibration/QB10/fidelity_1qb_gates_averaged "2025-08-26 03:44:04" 9988
/qct/qexa-20/cocos/calibration/QB10/fidelity_1qb_gates_averaged "2025-08-27 03:42:36" 9988
/qct/qexa-20/cocos/calibration/QB10/single_shot_readout_fidelity "2025-08-02 03:42:59" 9677
/qct/qexa-20/cocos/calibration/QB10/single_shot_readout_fidelity "2025-08-03 03:42:23" 9592
/qct/qexa-20/cocos/calibration/QB10/single_shot_readout_fidelity "2025-08-04 03:38:59" 9542
/qct/qexa-20/cocos/calibration/QB10/single_shot_readout_fidelity "2025-08-05 03:41:59" 9595
/qct/qexa-20/cocos/calibration/QB10/single_shot_readout_fidelity "2025-08-06 03:37:10" 9702
/qct/qexa-20/cocos/calibration/QB10/single_shot_readout_fidelity "2025-08-07 03:42:43" 9677
/qct/qexa-20/cocos/calibration/QB10/single_shot_readout_fidelity "2025-08-08 03:42:11" 9665
/qct/qexa-20/cocos/calibration/QB10/single_shot_readout_fidelity "2025-08-09 03:43:21" 8942
/qct/qexa-20/cocos/calibration/QB10/single_shot_readout_fidelity "2025-08-10 03:39:56" 9670
/qct/qexa-20/cocos/calibration/QB10/single_shot_readout_fidelity "2025-08-11 03:41:53" 9732
/qct/qexa-20/cocos/calibration/QB10/single_shot_readout_fidelity "2025-08-12 03:39:59" 9570
/qct/qexa-20/cocos/calibration/QB10/single_shot_readout_fidelity "2025-08-13 03:42:04" 9577
/qct/qexa-20/cocos/calibration/QB10/single_shot_readout_fidelity "2025-08-14 03:42:10" 9570
/qct/qexa-20/cocos/calibration/QB10/single_shot_readout_fidelity "2025-08-15 03:40:35" 9567
/qct/qexa-20/cocos/calibration/QB10/single_shot_readout_fidelity "2025-08-16 03:42:20" 9565
/qct/qexa-20/cocos/calibration/QB10/single_shot_readout_fidelity "2025-08-17 03:41:45" 8837
/qct/qexa-20/cocos/calibration/QB10/single_shot_readout_fidelity "2025-08-18 03:41:53" 8877
/qct/qexa-20/cocos/calibration/QB10/single_shot_readout_fidelity "2025-08-19 03:43:48" 9190
/qct/qexa-20/cocos/calibration/QB10/single_shot_readout_fidelity "2025-08-20 03:42:52" 9227
/qct/qexa-20/cocos/calibration/QB10/single_shot_readout_fidelity "2025-08-21 03:41:43" 9480
/qct/qexa-20/cocos/calibration/QB10/single_shot_readout_fidelity "2025-08-22 03:40:39" 8900
/qct/qexa-20/cocos/calibration/QB10/single_shot_readout_fidelity "2025-08-24 03:42:13" 9600
/qct/qexa-20/cocos/calibration/QB10/single_shot_readout_fidelity "2025-08-25 03:42:55" 9735
/qct/qexa-20/cocos/calibration/QB10/single_shot_readout_fidelity "2025-08-26 03:44:04" 9672
/qct/qexa-20/cocos/calibration/QB10/single_shot_readout_fidelity "2025-08-27 03:42:36" 9670
/qct/qexa-20/cocos/calibration/QB10/t1_time "2025-08-02 03:42:59" 24627
/qct/qexa-20/cocos/calibration/QB10/t1_time "2025-08-03 03:42:23" 32390
/qct/qexa-20/cocos/calibration/QB10/t1_time "2025-08-04 03:38:59" 28932
/qct/qexa-20/cocos/calibration/QB10/t1_time "2025-08-05 03:41:59" 39143
/qct/qexa-20/cocos/calibration/QB10/t1_time "2025-08-06 03:37:10" 34656
/qct/qexa-20/cocos/calibration/QB10/t1_time "2025-08-07 03:42:43" 19182
/qct/qexa-20/cocos/calibration/QB10/t1_time "2025-08-08 03:42:11" 31925
/qct/qexa-20/cocos/calibration/QB10/t1_time "2025-08-09 03:43:21" 40862
/qct/qexa-20/cocos/calibration/QB10/t1_time "2025-08-10 03:39:56" 29775
/qct/qexa-20/cocos/calibration/QB10/t1_time "2025-08-11 03:41:53" 44065
/qct/qexa-20/cocos/calibration/QB10/t1_time "2025-08-12 03:39:59" 24710
/qct/qexa-20/cocos/calibration/QB10/t1_time "2025-08-13 03:42:04" 37467
/qct/qexa-20/cocos/calibration/QB10/t1_time "2025-08-14 03:42:10" 38534
/qct/qexa-20/cocos/calibration/QB10/t1_time "2025-08-15 03:40:35" 32615
/qct/qexa-20/cocos/calibration/QB10/t1_time "2025-08-16 03:42:20" 35229
/qct/qexa-20/cocos/calibration/QB10/t1_time "2025-08-17 03:41:45" 46422
